Filename,Prediction,Confidence,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\433-442郁媛\437\437-3-2.jpg,a5c,0.998,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\557\557-4-2.jpg,a5c,0.998,Discard
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\37\37-4-3.jpg,a5c,0.998,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\404\404-3-3.jpg,a5c,0.997,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\404\404-3-2.jpg,a5c,0.996,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\452\452-3-3.jpg,a5c,0.996,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\469\469-3-1.jpg,a5c,0.996,Discard
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\37\37-4-1.jpg,a5c,0.996,Discard
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\37\37-4-2.jpg,a5c,0.996,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\404\404-3-1.jpg,a5c,0.995,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\451\451-4-2.jpg,a5c,0.995,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\623-632芝嫻\629\629-4-2.jpg,a5c,0.995,Discard
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\82\82-4-3.jpg,a5c,0.995,Discard
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\48\48-3-3.jpg,a4c,0.995,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\145\145-3-1.jpg,a4c,0.994,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\253-262郁媛\257\257-3-2.jpg,a5c,0.994,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\306\306-3-1.jpg,a4c,0.994,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\306\306-3-2.jpg,a4c,0.994,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\403\403-3-3.jpg,a5c,0.994,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\520\520-3-1.jpg,a5c,0.994,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\557\557-4-3.jpg,a5c,0.994,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\603-612琤珮\604\604-4-2.jpg,a5c,0.994,Discard
