Filename,Prediction,Confidence
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\113-122秀娟\118\118-1-1 .jpg,plax,0.998
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\152\152-1-3.jpg,plax,0.998
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\163-172岱蓉\163\163-1-1.jpg,plax,0.998
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\163-172岱蓉\163\163-1-2.jpg,plax,0.998
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\163-172岱蓉\170\170-1-3.jpg,plax,0.998
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\203-212芝嫻\212\212-1-2.jpg,plax,0.998
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\383-392芝嫻\389\389-1-3.jpg,plax,0.998
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\433-442郁媛\437\437-3-2.jpg,a5c,0.998
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\557\557-4-2.jpg,a5c,0.998
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\62\62-1-1.jpg,plax,0.998
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\71\71-1-1.jpg,plax,0.998
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\37\37-4-3.jpg,a5c,0.998
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\158\158-1-1.jpg,plax,0.997
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\163-172岱蓉\169\169-1-1.jpg,plax,0.997
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\163-172岱蓉\170\170-1-2.jpg,plax,0.997
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\173-182秀娟\173\173-1-1.jpg,plax,0.997
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\213-222靜華\214\214-1-2.jpg,plax,0.997
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\283-292岱蓉\292\292-2-1.jpg,psax-ap,0.997
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\293-302靜華\293\293-1-2.jpg,plax,0.997
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\404\404-3-3.jpg,a5c,0.997
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\613-622郁媛\616\616-1-1.jpg,plax,0.997
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\100\100-1-2.jpg,plax,0.997
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\55\55-1-1.jpg,plax,0.997
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\62\62-1-2.jpg,plax,0.997
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\97\97-1-2.jpg,plax,0.997
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\97\97-1-3.jpg,plax,0.997
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\133-142郁媛\140\140-1-1.jpg,plax,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\152\152-1-1.jpg,plax,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\153\153-1-1.jpg,plax,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\163-172岱蓉\170\170-1-1.jpg,plax,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\203-212芝嫻\207\207-1-2.jpg,plax,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\203-212芝嫻\207\207-1-3.jpg,plax,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\203-212芝嫻\212\212-1-3.jpg,plax,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\213-222靜華\214\214-1-1.jpg,plax,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\213-222靜華\222\222-1-3.jpg,plax,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\223-232岱蓉\226\226-1-1.jpg,plax,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\307\307-1-2.jpg,plax,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\312\312-2-2.jpg,psax-ap,0.996
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\312\312-2-3.jpg,psax-ap,0.996
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\373-382靜華\381\381-1-1.jpg,plax,0.996
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\404\404-3-2.jpg,a5c,0.996
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\452\452-3-3.jpg,a5c,0.996
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\469\469-3-1.jpg,a5c,0.996
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\556\556-1-2.jpg,plax,0.996
